#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
88,"Erasmo Esteves (Tijuca Maluca)","Erasmo Carlos,Rubel,Emicida",27,172,"undefined","Erasmo Esteves",2024-05-03,04:34,55,69,74,0,90,0,50,-10,,4,2025-08-22,4w4Jqi1hrVol86IBNw4Yql,,BRRGE2400199
89,"Cowabunga!","Jotapê,Nle Doprê,Brennuz,Barretinho,IWally,Marabá",39,144,"undefined","LáDoEsgoto",2024-07-03,03:24,67,78,37,0,50,20,20,-4,,4,2025-08-22,6IeJOZy0YiHhSMEnLQDAsA,,BXJK02400061
90,"Diz Aí Qual é o Plano?","Mc IG,MC Ryan SP,Oruam,MC PH,Mc Poze do Rodo,MC GP,TrapLaudo,Mc Luki,MC GH do 7,MC Nego Micha,Murillo e LT no Beat",61,72,"undefined","Todo Mundo Odeia o IG",2024-03-21,11:43,59,58,35,0,58,50,0,-4,,5,2025-08-22,7pnqm6UEb7SzpDxb53wULT,,BRWMB2400220
91,"Vem Desestressar","MC PH,Vulgo FK,Veigh,Pedro Lotto,prodbyeros",64,124,"undefined","O Cara Do Momento, Vol. 2",2024-04-10,04:03,77,54,34,0,54,0,10,-8,,4,2025-08-23,5jrQZnYInM6YUjr2yFSa3E,,BXG6R2400152
92,"Rainha da Finesse","WIU",67,130,"undefined","Vagabundo de Luxo",2024-07-10,02:46,79,85,55,0,65,0,10,-2,,4,2025-08-22,0w7vodPWFEcuEYvWpbNbOu,,BXW922400005
93,"Diferentão - Ao Vivo","Dilsinho",33,95,"undefined","Diferentão 2 (Ao Vivo)",2024-06-06,03:03,69,80,56,0,91,0,50,-7,,4,2025-08-22,1TfsRE0WGbCxjhWgg164qQ,,BCG3G2400025
94,"Eu vs Me","Yunk Vino,Galdino,Honaiser,Nagalli",45,127,"undefined","M.A.D 2",2024-08-09,02:49,61,51,8,0,56,0,10,-8,,4,2025-08-22,7dwPbTsu0POrSie5xkMGpN,,BXBGP2400037
95,"Vamo Marolar","L7NNON,MC Cabelinho,Palma,HHR",57,119,"undefined","Vamo Marolar",2024-03-28,03:01,94,45,27,0,56,30,10,-6,,4,2025-08-22,6VzrPxShPXVXRLig62vl2p,,BR5TG2400061
96,"Segue o Jogo","Samuel Rosa",32,136,"undefined","Rosa",2024-06-27,03:42,75,65,7,0,82,0,0,-9,,4,2025-08-22,17sbwALPLff4Z1499EYNaF,,BCS162400008
97,"CAJU","Liniker",67,140,"undefined","CAJU",2024-08-19,04:26,65,65,51,0,66,10,50,-7,,4,2025-08-22,7tmvvRmUqzCRjRx9ub8K7i,,BK20B2400014
98,"SAUDADE DE VOCÊ","DUDA BEAT",49,128,"undefined","Tara e Tal",2024-04-12,03:56,78,82,13,0,79,0,40,-7,,4,2025-08-22,76K91k1A3S7GHe5GmALuO9,,BRUM72301394
99,"Vida Rasa","Orochi,Mainstreet,MC Cabelinho,RUXN,Palma",60,125,"undefined","442",2024-02-27,02:05,70,68,18,0,31,0,10,-6,,4,2025-08-22,5t2RXNtjGIzKPGiNYSU6FG,,BCM9A2400005
100,"Supernova","Jão",48,167,"undefined","SUPERNOVA",2024-06-12,03:01,46,74,13,0,14,0,10,-7,,4,2025-08-22,6LVzmx8BF8BFsqnpYKx3C5,,BRUM72400941
101,"Sympathy is a knife","Charli xcx",69,132,"undefined","BRAT",2024-06-07,02:31,72,71,5,0,58,0,40,-6,,4,2025-08-22,5c9tBmJKbTdn1vhzXHeAwW,,USAT22401343
102,"Juno","Sabrina Carpenter",83,131,"undefined","Short n' Sweet",2024-08-23,03:43,63,73,5,0,64,0,20,-4,,4,2025-08-22,21B4gaTWnTkuSh77iWEXdS,,USUM72404107
