#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (dB),Tom,Compasso,Adicionado em,Spotify ID,Camelot,ISRC,Gêneros_lista
172,Pra Se Entorpecer,"Dudu,Yunk Vino,Iuri Rio Branco",35,110,"trap brasileiro, hip hop brasileiro, trap, trap funk, boom bap, rap",Escolhas e Reflexos,2024-11-07,02:40,160,66,34,12,0,35,0,10,-19,D Major,4,2025-08-23,7ytjb8ZvBX7hViPXKBJp95,10B,BRRGE2401032,"['trap brasileiro', 'hip hop brasileiro', 'trap', 'trap funk', 'boom bap', 'rap']"
173,Poetas no Topo 4,"Pineapple StormTv,Jotapê,Cesar Mc,Sain,Dk 47,LEALL,Don L,AJULIACOSTA,Xamã,Major RD,Raffa Moreira,Froid,Pedro Apoema,Ecologyk,Luizinhx",51,88,"hip hop brasileiro, trap brasileiro, boom bap, grime, trap funk, trap, drill, rap",Poetas no Topo 4,2024-11-01,17:47,1067,50,47,45,0,49,40,40,-12,G#/A♭ Minor,4,2025-08-23,4w47dntseeMeuLPzFTKKB9,1A,BX6Y62400100,"['hip hop brasileiro', 'trap brasileiro', 'boom bap', 'grime', 'trap funk', 'trap', 'drill', 'rap']"
174,NOITES DO SUBÚRBIO,"Sant,Jotapê,Mc Marechal",44,92,"hip hop brasileiro, boom bap, trap brasileiro, rap",CONVICTO,2024-12-12,02:50,170,56,48,50,0,27,40,10,-11,F Minor,4,2025-08-23,7qSWcCpOwQUnXtU6ZDntgK,4A,BRRGE2401279,"['hip hop brasileiro', 'boom bap', 'trap brasileiro', 'rap']"
175,THE BOX MEDLEY FUNK 2,"THE BOX,Mc Brinquedo,MC Cebezinho,MC Tuto,Mc Laranjinha,DJ Oreia",71,117,"trap brasileiro, trap funk, funk, funk consciente, funk de bh, brega funk, rap",THE BOX MEDLEY FUNK 2,2024-04-18,04:26,266,78,69,58,1,84,10,30,-9,B Minor,4,2025-08-23,7IFsTX5H1sWcEl8joV0IdD,10A,BKF5C2400003,"['trap brasileiro', 'trap funk', 'funk', 'funk consciente', 'funk de bh', 'brega funk', 'rap']"
176,Barbie,"MC Tuto,DJ Glenner",73,127,"funk, funk consciente, trap funk, rap",Barbie,2024-10-18,03:12,192,96,43,71,0,72,40,10,-8,D#/E♭ Minor,4,2025-08-23,6s1kzj4EbhFLXbuAGJbhbn,2A,BCSOR2400154,"['funk', 'funk consciente', 'trap funk', 'rap']"
177,A Dança - Ao Vivo,"MC Hariel,Gilberto Gil",56,146,"funk, funk consciente, trap funk, mpb, bossa nova, forró tradicional, samba, jazz brasileiro, rap",Funk Superação (Ao Vivo),2024-08-29,04:04,244,59,74,75,0,74,30,10,-4,C Minor,4,2025-08-23,5YNGlqsKGstyaJilHELAGo,5A,BRWMB2400914,"['funk', 'funk consciente', 'trap funk', 'mpb', 'bossa nova', 'forró tradicional', 'samba', 'jazz brasileiro', 'rap']"
178,Seu Job,"Orochi,MC GP,Leviano,DU'L,Portugal No Beat,Coelho",50,95,"trap brasileiro, hip hop brasileiro, trap funk, trap, funk, funk consciente, rap",Para Todas do Job,2024-07-09,04:15,255,58,69,42,0,57,10,10,-2,F Major,4,2025-08-23,2YENQseYfuRAaZoUrQ9wGa,7B,BCM9A2400053,"['trap brasileiro', 'hip hop brasileiro', 'trap funk', 'trap', 'funk', 'funk consciente', 'rap']"
179,Nois Já Tá Rico,"Mc IG,MC Ryan SP,Orochi,DJ Glenner,DJ Negret",47,90,"funk, trap funk, funk consciente, trap brasileiro, hip hop brasileiro, trap, rap",Nois Já Tá Rico,2024-08-20,04:48,288,73,59,34,0,63,30,30,-8,B Minor,3,2025-08-23,1gNFpum6dIaDDLfI98KJ6S,10A,BRWMB2401061,"['funk', 'trap funk', 'funk consciente', 'trap brasileiro', 'hip hop brasileiro', 'trap', 'rap']"
180,Melhor Vibe,"MC Ryan SP,Filipe Ret,Caio Luccas,Chefin,Dallass,Rocco",68,142,"funk, funk consciente, trap funk, trap brasileiro, hip hop brasileiro, trap, rap",Melhor Vibe,2024-03-20,05:41,341,74,59,75,0,58,10,10,-6,D Minor,4,2025-08-23,5brVlCCt8gp4pP0iJOOctj,7A,BRWMB2400319,"['funk', 'funk consciente', 'trap funk', 'trap brasileiro', 'hip hop brasileiro', 'trap', 'rap']"
181,Distante,"MD Chefe,Filipe Ret",61,150,"trap brasileiro, trap, hip hop brasileiro, trap funk, rap",Estrela do Rap,2024-07-04,02:52,172,64,64,55,0,55,0,10,-6,F Major,4,2025-08-23,6B7iZCaClvCV6DH4MnRMP5,7B,BCB962400001,"['trap brasileiro', 'trap', 'hip hop brasileiro', 'trap funk', 'rap']"
