#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (dB),Tom,Compasso,Adicionado em,Spotify ID,Camelot,ISRC,Gêneros_lista
98,SAUDADE DE VOCÊ,DUDA BEAT,49,128,"nova mpb, pop nacional, mpb",Tara e Tal,2024-04-12,03:56,236,78,82,13,0,79,0,40,-7,A#/B♭ Minor,4,2025-08-22,76K91k1A3S7GHe5GmALuO9,3A,BRUM72301394,"['nova mpb', 'pop nacional', 'mpb']"
99,Vida Rasa,"Orochi,Mainstreet,MC Cabelinho,RUXN,Palma",60,125,"trap brasileiro, hip hop brasileiro, trap funk, trap, funk consciente, rap",442,2024-02-27,02:05,125,70,68,18,0,31,0,10,-6,A#/B♭ Minor,4,2025-08-22,5t2RXNtjGIzKPGiNYSU6FG,3A,BCM9A2400005,"['trap brasileiro', 'hip hop brasileiro', 'trap funk', 'trap', 'funk consciente', 'rap']"
100,Supernova,Jão,48,167,"pop nacional, nova mpb, mpb",SUPERNOVA,2024-06-12,03:01,181,46,74,13,0,14,0,10,-7,C♯/D♭ Major,4,2025-08-22,6LVzmx8BF8BFsqnpYKx3C5,3B,BRUM72400941,"['pop nacional', 'nova mpb', 'mpb']"
101,Push Ups,Drake,71,91,rap,Push Ups,2024-04-19,03:52,232,60,70,2,0,21,10,20,-5,D Major,4,2025-08-22,3eh51r6rFWAlGQRlHx9QnQ,10B,USUG12402283,['rap']
102,euphoria,Kendrick Lamar,76,140,"hip hop, west coast hip hop",euphoria,2024-04-30,06:23,383,83,64,5,0,14,10,0,-5,C♯/D♭ Major,4,2025-08-22,77DRzu7ERs0TX3roZcre7Q,3B,USUG12402839,"['hip hop', 'west coast hip hop']"
103,Family Matters,Drake,70,164,rap,Family Matters,2024-05-03,07:36,456,53,49,0,0,23,20,30,-10,C♯/D♭ Major,4,2025-08-22,1wFFFzJ5EsKbBWZriAcubN,3B,USUG12402984,['rap']
104,Not Like Us,Kendrick Lamar,88,101,"hip hop, west coast hip hop",Not Like Us,2024-05-04,04:34,274,90,47,1,0,21,0,10,-7,C♯/D♭ Major,4,2025-08-22,6AI3ezQ4o3HUoP6Dhudph3,3B,USUG12400910,"['hip hop', 'west coast hip hop']"
105,Die With A Smile,"Lady Gaga,Bruno Mars",93,158,"art pop, pop, ",Die With A Smile,2024-08-16,04:11,251,52,59,31,0,54,0,10,-8,F#/G♭ Minor,3,2025-08-22,2plbrEY59IikOBgBGLjaoe,11A,USUM72409273,"['art pop', 'pop', '']"
106,APT.,"ROSÉ,Bruno Mars",84,149,"k-pop, ",rosie,2024-12-06,02:49,169,78,78,3,0,94,20,30,-4,C Minor,4,2025-08-22,4wJ5Qq0jBN4ajy7ouZIV1c,5A,USAT22409172,"['k-pop', '']"
107,Saturn,SZA,80,89,r&b,SOS Deluxe: LANA,2024-12-20,03:06,186,56,58,64,0,33,0,10,-8,C♯/D♭ Major,4,2025-08-22,040I32EKLxQrkuxQu1pqvT,3B,USRC12400216,['r&b']
108,Beautiful Things,Benson Boone,89,105,pop,Fireworks & Rollerblades,2024-04-05,03:00,180,47,47,15,0,22,0,10,-6,A#/B♭ Major,3,2025-08-22,3xkHsmpQCBMytMJNiDf3Ii,6B,USWB12307016,['pop']
109,Love Bites (Feat. Tove Lo and SG Lewis),"Nelly Furtado,Tove Lo,SG Lewis",41,128,pop,7,2024-09-20,02:47,167,76,66,2,0,75,0,10,-6,F#/G♭ Minor,4,2025-08-22,5lzb7CU5ING7MDilFOVplH,11A,CAUM72400193,['pop']
110,"I Love You, I'm Sorry",Gracie Abrams,86,116,pop,The Secret of Us,2024-06-21,02:37,157,53,41,66,0,34,0,10,-8,A#/B♭ Major,3,2025-08-22,51rfRCiUSvxXlCSCfIztBy,6B,USUG12401766,['pop']
111,Somebody Else's,Gwen Stefani,44,160,pop,Bouquet,2024-11-15,03:44,224,59,87,0,0,76,0,10,-5,G#/A♭ Major,4,2025-08-22,1VXCatH0fWzJWHTWQ31Xah,4B,USUM72409716,['pop']
112,Lucky,Halsey,46,103,pop,The Great Impersonator,2024-10-25,03:16,196,71,65,39,0,73,0,20,-4,C Major,4,2025-08-22,4tFeiOMKZB7WVLj73NKZha,8B,USSM12405162,['pop']
113,Make You Mine,Madison Beer,76,123,pop,Make You Mine,2024-02-09,03:41,221,53,64,22,1,49,0,20,-6,F#/G♭ Minor,4,2025-08-22,48vIfHaK7by6x0T6ucpODL,11A,USSM12400758,['pop']
114,Love On,Selena Gomez,60,116,pop,Love On,2024-02-22,03:01,181,75,52,20,0,53,0,0,-6,C Major,4,2025-08-22,2fB5YRuD88drKpCXQOAk03,8B,USUM72318034,['pop']
115,Si Antes Te Hubiera Conocido,KAROL G,86,128,"reggaeton, latina, urbano latino",Si Antes Te Hubiera Conocido,2024-06-21,03:15,195,92,67,45,0,79,0,0,-7,B Major,4,2025-08-22,6WatFBLVB0x077xWeoVc2k,1B,USUG12400968,"['reggaeton', 'latina', 'urbano latino']"
116,OTRO CAPÍTULO,Becky G,47,89,"reggaeton, latina",ENCUENTROS,2024-10-10,03:00,180,80,74,18,0,84,0,10,-4,A#/B♭ Major,4,2025-08-22,4ZJ6Ef4JKjYwiuyYp7DxSK,6B,USRC12402719,"['reggaeton', 'latina']"
117,Moonlit Floor (Kiss Me),LISA,72,110,k-pop,Moonlit Floor (Kiss Me),2024-10-03,02:35,155,73,79,13,0,67,10,30,-4,F Minor,4,2025-08-22,3yDRcs0Y4pPzkvMbUfeF9H,4A,USRC12402958,['k-pop']
118,A Bar Song (Tipsy),Shaboozey,82,81,pop,"Where I've Been, Isn't Where I'm Going",2024-05-31,02:51,171,72,71,7,0,60,0,0,-5,A Major,4,2025-08-22,5fZJQrFKWQLb7FpJXZ1g7K,11B,USUYG1541249,['pop']
119,Too Sweet,Hozier,83,117,pop,Unreal Unearth: Unaired,2024-08-19,04:11,251,74,64,4,0,96,0,0,-5,A#/B♭ Major,4,2025-08-22,19XpFsce28aByvCC4g89tJ,6B,IEACJ2300335,['pop']
120,MILLION DOLLAR BABY,Tommy Richman,83,138,pop,MILLION DOLLAR BABY,2024-04-26,02:35,155,85,70,10,0,92,0,0,-6,C♯/D♭ Minor,4,2025-08-22,5AJ9hqTS2wcFQCELCFRO7A,12A,QM24S2402528,['pop']
121,Why Why Why,Shawn Mendes,73,105,pop,Shawn,2024-11-15,02:49,169,58,76,1,0,42,0,40,-7,G Major,4,2025-08-22,0kPIcJ1Mp6m9AR9Y7UnMLR,9B,USUM72408543,['pop']
122,"Witness Me (feat. Shawn Mendes, Stormzy & Kirk Franklin)","Jacob Collier,Shawn Mendes,Stormzy,Kirk Franklin",43,88,"grime, grime reino unido, drill reino unido, gospel, r&b gospel, adoração",Djesse Vol. 4,2024-03-01,03:42,222,56,54,83,0,50,0,10,-7,F Major,4,2025-08-22,32bIjXtZWUk21aC7fooG8g,7B,GBUM72309613,"['grime', 'grime reino unido', 'drill reino unido', 'gospel', 'r&b gospel', 'adoração']"
123,Who,Jimin,87,116,k-pop,MUSE,2024-07-19,02:50,170,66,76,0,0,84,0,10,-4,C Minor,4,2025-08-22,7tI8dRuH2Yc6RuoTjxo4dU,5A,USA2P2431062,['k-pop']
124,"Good Luck, Babe!",Chappell Roan,90,117,pop,"Good Luck, Babe!",2024-04-05,03:38,218,70,58,5,0,79,0,0,-6,B Minor,4,2025-08-22,0WbMK4wrZ1wFSty9F7FCgu,10A,USUG12401967,['pop']
125,Sailor Song,Gigi Perez,87,95,pop,Sailor Song,2024-07-26,03:31,211,49,41,68,0,27,0,10,-10,B Major,4,2025-08-22,2262bWmqomIaJXwCRHr13j,1B,USHM92438095,['pop']
126,Pink Skies (feat. Watchhouse),"Zach Bryan,Watchhouse",59,86,"country, red dirt, bluegrass, americana, folk, newgrass",The Great American Bar Scene,2024-07-04,03:49,229,49,41,31,0,26,0,10,-8,C Major,4,2025-08-23,4Rl29H4elQZcDSIiM0vcHM,8B,USWB12402705,"['country', 'red dirt', 'bluegrass', 'americana', 'folk', 'newgrass']"
127,Love Somebody,Morgan Wallen,78,122,country,Love Somebody,2024-10-18,03:24,204,62,84,1,0,75,0,10,-5,F Minor,4,2025-08-22,7hR22TOX3RorxJPcsz5Wbo,4A,USUG12406387,['country']
128,Human,Lenny Kravitz,49,120,rock,Blue Electric Light,2024-05-24,04:27,267,71,88,0,0,89,0,20,-4,B Minor,4,2025-08-22,5HwyIGJ82WAAC49zsFoI8i,10A,DELV42300473,['rock']
129,Trial By Fire,Judas Priest,34,165,"heavy metal, metal, hard rock, glam metal",Trial By Fire,2023-11-17,04:21,261,41,90,0,0,40,0,20,-6,A#/B♭ Minor,3,2025-08-22,6oIGM95s3TIyPqhHIH2AQ6,3A,GBARL2301261,"['heavy metal', 'metal', 'hard rock', 'glam metal']"
130,DIE FOR ME,Chase Atlantic,65,130,rock,LOST IN HEAVEN,2024-11-01,03:26,206,41,73,9,0,36,10,30,-4,F#/G♭ Minor,4,2025-08-23,0BmRj1LXJGPAox0pl3rMbc,11A,US5262426872,['rock']
131,symptom of life,WILLOW,52,160,pop,empathogen,2024-05-03,03:09,189,58,84,36,3,44,0,0,-7,D Minor,3,2025-08-22,70nmpLYSyZ58QTUzUiB1VA,7A,QZQAY2437569,['pop']
132,Tears (feat. Omah Lay),"Kehlani,Omah Lay",35,114,"afrobeats, afrobeat, afropop, r&b afro, afropiano, afro soul, alté, afroswing",CRASH,2024-06-20,03:33,213,68,81,3,24,17,0,20,-6,G Major,4,2025-08-22,3PTKJqdK3OfK16kS56HuPb,9B,USAT22402870,"['afrobeats', 'afrobeat', 'afropop', 'r&b afro', 'afropiano', 'afro soul', 'alté', 'afroswing']"
133,Elephant,070 Shake,42,116,rap,Petrichor,2024-11-15,02:47,167,60,52,1,0,17,0,20,-6,G#/A♭ Major,4,2025-08-23,4MH3D8angFt2z5B8yO3xnG,4B,USUM72315641,['rap']
134,Dancing In The Flames,The Weeknd,54,117,pop,Dancing In The Flames,2024-09-13,03:40,220,60,73,0,0,16,0,0,-6,C♯/D♭ Major,4,2025-08-23,29lXN1aoaL6HE72BOvknyr,3B,USUG12405844,['pop']
135,Witchy (feat. Childish Gambino),"KAYTRANADA,Childish Gambino",68,110,rap,TIMELESS,2024-06-07,03:47,227,59,62,0,0,32,10,10,-8,F Major,4,2025-08-23,1PxKsGzQcmiwDHvA9ig5gv,7B,USRC12300035,['rap']
136,HISS,Megan Thee Stallion,59,167,rap,MEGAN,2024-06-28,03:12,192,75,66,8,0,69,40,20,-5,C♯/D♭ Major,4,2025-08-23,1a9dUxIQ2ehPH3992H9uPe,3B,USAT22400675,['rap']
137,HIGHJACK,"A$AP Rocky,Jessica Pratt",70,143,"rap, folk ambiente",HIGHJACK,2024-08-02,03:10,190,61,68,32,0,69,10,30,-5,G Major,4,2025-08-23,57L5EYzCfHS7Jd58rV33lW,9B,USRC12402365,"['rap', 'folk ambiente']"
138,BAND4BAND (feat. Lil Baby),"Central Cee,Lil Baby",75,140,"drill reino unido, drill, grime reino unido, grime, ",BAND4BAND (feat. Lil Baby),2024-05-23,02:20,140,88,76,36,0,89,20,10,-5,B Major,4,2025-08-23,7iabz12vAuVQYyekFIWJxD,1B,USSM12404354,"['drill reino unido', 'drill', 'grime reino unido', 'grime', '']"
139,Did It First (with Central Cee),"Ice Spice,Central Cee",73,154,"drill reino unido, drill, grime reino unido, grime",Y2K!,2024-07-26,01:58,118,64,59,24,0,56,30,10,-7,C♯/D♭ Major,4,2025-08-23,2BNcawEW0KlzLW9DeHzXZJ,3B,USUG12403632,"['drill reino unido', 'drill', 'grime reino unido', 'grime']"
140,Get It Sexyy,Sexyy Red,72,145,rap,In Sexyy We Trust,2024-05-24,02:28,148,81,64,10,0,53,20,10,-6,F Minor,4,2025-08-23,6UmKnXmG7VmYqFnmSPOfRj,4A,QZSYP2454435,['rap']
141,TGIF,GloRilla,73,140,rap,GLORIOUS,2024-10-11,02:44,164,89,53,8,0,21,30,10,-7,A#/B♭ Minor,4,2025-08-23,31TVho4kOuAeRmLYGIEuWn,3A,USUM72407338,['rap']
142,It's My Ego,Ice Cube,55,95,"gangster rap, west coast hip hop, hip hop old school, g-funk",Man Down,2024-11-22,03:46,226,87,85,2,0,62,20,0,-3,G#/A♭ Minor,4,2025-08-23,0La5b93W3TJIiavFVfmqUA,1A,CH7811113955,"['gangster rap', 'west coast hip hop', 'hip hop old school', 'g-funk']"
143,Gunz N Smoke (feat. 50 Cent & Eminem),"Snoop Dogg,Dr. Dre,50 Cent,Eminem",53,146,"g-funk, west coast hip hop, gangster rap, hip hop, hip hop old school, rap, east coast hip hop",Missionary,2024-12-13,03:33,213,85,90,1,0,78,20,0,-3,G Major,4,2025-08-23,2GiJpAxK7T6JddAmEVreKT,9B,USUM72412064,"['g-funk', 'west coast hip hop', 'gangster rap', 'hip hop', 'hip hop old school', 'rap', 'east coast hip hop']"
144,Lyfestylë (with Lil Wayne),"Yeat,Lil Wayne",52,77,"rage rap, rap, hip hop",2093,2024-02-16,03:56,236,70,51,15,0,27,10,0,-9,A#/B♭ Major,4,2025-08-23,15qRV1yUqFR6ViOwxoopod,6B,USUM72401629,"['rage rap', 'rap', 'hip hop']"
145,Saturday Mornings (feat. Lil Wayne),"Cordae,Lil Wayne",49,82,"rap, hip hop",The Crossroads,2024-11-15,04:22,262,25,89,15,0,37,10,10,-4,D#/E♭ Major,4,2025-08-23,0wT5T8Cstp8XvJIWz7kCVn,5B,USAT22405944,"['rap', 'hip hop']"
